,Country:,2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
0,AFG,68.96605,66.94454,68.25744,72.18289,68.05715,67.2032,64.00314,61.77561,70.25405,62.48616
1,AGO,24.1984,24.67357,24.0083,24.53186,24.11941,25.03078,26.0812,25.44195,25.85236,27.16477
2,ALB,21.9487,22.9965,21.70175,19.77038,19.13142,18.98271,18.14981,19.00622,19.75808,16.27997
3,AND,11.42903,11.66004,10.79727,10.14877,9.34741,9.94171,9.06227,9.30733,9.21394,8.52423
4,ARE,43.70844,43.53498,43.93421,42.88311,41.33546,43.92792,42.88604,43.32676,43.09622,41.7495
5,ARG,13.13748,13.22056,12.94834,14.01846,13.56491,14.18288,13.93109,13.23692,12.60073,12.04087
6,ARM,40.89928,46.45905,45.89738,42.84965,40.55938,40.58537,40.0427,37.75576,37.0863,34.12674
7,ATG,8.16597,7.79362,8.19812,8.05258,8.49694,8.89159,8.9538,9.26532,8.86972,8.29693
8,AUS,9.03381,8.0759,7.31418,7.25562,6.91137,6.6018,6.6731,6.88756,7.10973,8.93323
9,AUT,15.62129,15.98621,14.24784,13.98012,12.98472,13.62845,12.27973,12.31771,12.67567,11.50796
10,AZE,30.1081,33.92017,33.58166,31.35332,29.929,29.66727,28.84057,27.47704,26.96124,24.64286
11,BDI,27.83957,27.69889,28.28679,28.2065,28.28168,28.3709,28.36512,27.63488,27.98169,27.99587
12,BEL,16.07608,16.2887,14.64482,14.41417,13.12651,13.27885,12.36674,12.32764,12.16104,11.25612
13,BEN,30.97376,31.36923,31.84715,30.8411,31.14171,33.10973,32.72527,32.66209,32.33744,31.51453
14,BFA,41.29936,40.39413,41.16909,38.51253,40.01653,43.63248,43.05181,42.74336,41.76688,40.74491
15,BGD,49.42935,49.96579,50.8172,52.86825,50.96257,50.62575,47.77741,46.18553,50.66434,45.98906
16,BGR,23.87244,24.29317,22.21629,21.16338,21.16684,20.41206,19.62786,20.30481,20.39639,17.29031
17,BHR,55.87221,54.68996,54.40328,52.80459,50.11634,56.37947,52.90089,54.71749,54.49085,51.81722
18,BHS,4.96926,4.91879,5.28044,5.07954,5.31808,5.32066,5.55845,5.80244,5.61226,5.19903
19,BIH,34.91059,36.5729,34.05842,31.48972,32.07207,30.73886,29.70925,31.40318,32.0164,26.19402
20,BLR,19.90926,18.10344,17.35394,17.94123,18.76572,16.49174,14.7773,14.36545,16.08948,15.48201
21,BLZ,9.91087,9.80176,10.17558,10.24834,10.79746,11.0954,11.10206,11.36383,10.90041,10.50946
22,BOL,28.03159,25.82634,26.2593,26.52307,27.47979,26.50242,26.40407,24.17303,24.63357,25.23416
23,BRA,14.59709,14.88721,14.13799,13.15358,13.29311,12.04713,11.99646,14.86497,11.15102,10.94008
24,BRB,9.1456,9.04454,9.60352,9.31516,9.94912,10.52567,10.34492,10.90575,10.35542,9.78987
25,BRN,8.33369,8.41756,7.61957,8.07865,8.01761,7.81317,7.91286,7.02539,6.69525,6.86475
26,BTN,29.51405,29.08522,30.02531,30.6965,29.72429,29.04297,27.62854,26.49072,28.72968,26.09506
27,BWA,14.13807,13.68966,12.99973,12.80619,12.77959,12.88574,12.68932,13.11235,12.94709,12.8184
28,CAF,27.86686,28.59072,27.84438,26.61987,27.61422,29.06455,29.15016,27.93652,28.25056,27.19802
29,CAN,7.76265,7.8737,7.70689,7.40761,7.29134,7.15364,6.30748,6.89968,7.09267,6.38944
30,CHE,12.7588,13.00391,11.73932,11.383,10.50995,10.81907,9.98995,9.88915,10.01045,8.96682
31,CHL,22.25415,22.50082,22.0063,23.82929,23.14193,24.15233,23.74832,22.69373,21.46726,20.48648
32,CHN,47.18253,51.9203,53.43098,64.92525,55.40258,51.76256,47.61291,46.89996,40.54193,38.153
33,CIV,39.44081,40.74937,41.18663,39.4543,39.55348,43.7615,42.70035,42.12337,41.80919,40.41493
34,CMR,53.5823,54.40143,55.42413,53.04467,53.82225,59.08734,59.19735,59.29862,57.80493,56.36692
35,COD,31.83993,31.62003,32.14339,32.08453,31.46924,32.20523,32.98959,31.32414,31.46394,31.57858
36,COG,30.35857,30.49804,29.84971,29.90465,28.64988,28.98937,30.03266,28.76763,29.26944,29.48397
37,COK,7.45866,7.29535,7.43088,7.43945,7.36474,7.45319,7.62076,7.59942,7.76376,7.80121
38,COL,17.41506,17.84735,17.18047,18.07776,17.21034,17.3316,16.90482,15.90059,14.72127,14.03552
39,COM,13.735,13.8865,14.16312,14.0733,14.24112,14.53778,14.15413,14.29056,14.41939,14.3724
40,CPV,28.17148,31.06129,31.92126,30.71544,30.11248,33.37649,31.82663,32.59455,31.19557,31.08072
41,CRI,18.34723,19.17703,18.51075,19.14176,18.0355,18.31777,17.8607,17.0471,15.59229,14.69544
42,CUB,13.32336,12.77719,13.71305,13.2396,13.71356,14.16391,14.4658,14.76059,14.28114,13.31979
43,CYP,18.5258,17.56798,16.22805,16.11813,14.88171,15.12686,13.67356,14.60062,15.38302,14.51621
44,CZE,20.24895,20.80231,18.80054,18.07482,18.27818,17.5159,16.62194,16.99135,17.50349,14.34125
45,DEU,15.05866,15.41786,13.75633,13.26872,12.47156,12.64463,11.65641,11.77804,11.69647,10.73096
46,DJI,20.58046,20.825,21.15661,20.71166,20.00309,20.38808,20.4687,20.89987,20.38832,19.98484
47,DMA,7.86285,7.69866,8.1195,7.8932,8.35549,8.8134,8.8778,9.23309,8.74675,8.22238
48,DNK,12.26529,12.98285,11.44257,10.96574,10.39104,10.72585,9.77846,9.96918,10.01519,9.65653
49,DOM,7.52421,7.04065,7.461,7.21616,7.69651,7.87327,8.01817,8.32237,8.00486,7.58534
50,DZA,21.27312,21.55503,22.75584,21.19187,22.63854,22.49486,23.05572,23.32959,22.72761,22.68313
51,ECU,17.47493,17.10048,17.73954,18.12336,18.55831,17.72879,17.16539,15.83787,16.3823,16.54855
52,EGY,60.83491,59.31687,60.50464,61.92892,62.02213,61.56171,61.96814,62.04866,62.19745,63.15743
53,ERI,22.41942,22.7158,22.69251,22.20768,21.30527,22.33113,22.30357,23.55812,22.98061,22.74486
54,ESP,12.71701,13.08877,11.8292,11.21636,10.30841,11.11022,10.03888,10.20704,10.07741,9.3416
55,EST,8.46857,7.65399,7.37921,7.63221,7.84577,6.74558,6.19576,5.89878,6.70458,6.35007
56,ETH,22.26304,22.38095,22.08561,22.07112,21.94154,22.11803,22.17223,22.2304,22.23241,21.80471
57,FIN,7.06676,7.03235,6.32824,6.19898,5.77196,5.82623,5.39254,5.37331,5.57078,5.46669
58,FJI,7.19301,7.03749,7.10199,7.12294,7.22564,7.32313,7.38893,7.45195,7.51985,7.36073
59,FRA,14.4533,14.72045,13.28604,12.94845,11.87684,12.20689,11.24407,11.2922,11.22835,10.45709
60,FSM,7.55417,7.3519,7.46286,7.64291,7.37491,7.65392,7.73425,7.6179,7.63087,7.78563
61,GAB,25.25444,25.36521,25.71197,25.17365,24.74257,26.12616,26.67274,25.89724,26.25771,26.28642
62,GBR,13.17134,13.41139,12.13746,11.82121,10.95413,11.08279,10.18747,10.09013,10.06647,9.51575
63,GEO,22.83911,25.97638,25.60431,23.91735,22.75555,22.56939,22.23778,21.05663,20.65794,19.06419
64,GHA,44.15821,45.88362,46.1697,44.52658,44.32529,50.00957,49.58518,48.44405,48.04326,46.04334
65,GIN,36.75639,36.8619,38.56442,35.99449,37.47029,39.19347,39.27696,38.63413,37.9553,37.57394
66,GMB,37.46242,37.6336,38.99416,36.75793,37.9618,39.87149,38.93244,40.49778,39.85939,39.10354
67,GNB,33.91065,34.199,35.23712,33.12466,34.50521,36.11347,35.00763,36.52577,35.89896,34.84998
68,GNQ,24.24799,24.93395,25.52585,24.30935,24.11408,27.28679,26.95478,26.62422,26.37597,25.66867
69,GRC,19.70342,19.55482,17.69594,17.32218,15.61442,16.44555,15.17234,15.19722,15.68502,14.62251
70,GRD,9.39634,9.23726,9.78476,9.54154,10.17527,10.76191,10.58836,11.13847,10.56853,10.08384
71,GTM,25.981,27.38173,25.71066,27.22863,25.22439,25.41907,24.99632,23.81887,21.71094,20.74787
72,GUY,10.48881,10.08629,10.7606,10.41427,11.08202,11.72288,11.76084,12.03326,11.51726,11.10584
73,HND,22.41273,24.6973,22.49206,24.52253,23.10055,23.07178,22.63153,21.06729,20.02576,18.93138
74,HRV,20.99358,22.06682,19.8851,18.93214,19.0963,18.64689,17.72706,18.22426,18.97625,15.28803
75,HTI,9.56173,9.04796,9.60844,9.36743,9.92126,10.14026,10.36243,10.61368,10.23239,9.69133
76,HUN,19.48187,20.28949,18.09601,17.41172,17.6783,17.16101,16.18065,16.61689,17.25407,14.24457
77,IDN,20.59222,19.12046,20.27159,20.90741,18.87457,19.34402,20.77603,18.41187,18.46806,19.3398
78,IND,55.16824,55.05154,55.71659,58.2048,55.88501,55.47851,52.99866,51.30151,55.47787,50.17359
79,IRL,9.902,10.60182,9.42652,9.32749,8.73801,9.16187,8.07617,8.13348,8.30705,8.19503
80,IRN,29.88702,29.6127,29.63387,29.5478,29.05687,29.87318,29.5019,30.35325,32.17821,31.61622
81,IRQ,39.31795,38.61172,38.56523,38.55701,36.63165,39.05414,38.51472,38.85521,39.97648,39.28878
82,ISL,6.90546,7.45684,6.63645,6.38553,6.03472,6.43001,5.68914,5.75077,5.88924,5.78865
