,Country Code,GNI 2010,GNI 2011,GNI 2012,GNI 2013,GNI 2014,GNI 2015,GNI 2016,GNI 2017,GNI 2018,GNI 2019,POP GROWTH 2010,POP GROWTH 2011,POP GROWTH 2012,POP GROWTH 2013,POP GROWTH 2014,POP GROWTH 2015,POP GROWTH 2016,POP GROWTH 2017,POP GROWTH 2018,POP GROWTH 2019
0,AFG,510,530,630,650,630,590,550,530,510,520,2.74661463795293,3.14310555651301,3.40760003260595,3.49459192739625,3.35560233082199,3.07705362914441,2.77803478841236,2.54783303994568,2.38430907940751,2.31307334941778
1,AFE,1449.38694982585,1586.63986097829,1698.80815719012,1731.83465927064,1712.65340895441,1595.75352120869,1475.97971641498,1459.51755385162,1464.99537466535,1506.73192051311,2.74740956025077,2.75661924889133,2.76342579830968,2.76149556849235,2.75040021306161,2.73259763999667,2.71221797789649,2.69090172827046,2.66561953897049,2.63666633689952
2,AFW,1575.91545569087,1605.75683572412,1774.06726894128,1931.83150163743,2094.40501122793,2005.30632501013,1782.17439426541,1611.49767282406,1611.87005089623,1669.28410605469,2.7873725353495,2.775170988939,2.76380250826622,2.75356415432408,2.74554220539586,2.73833156598,2.73033179083436,2.71932994204438,2.7041680375953,2.68415173928712
3,ALB,4360,4410,4360,4540,4540,4390,4320,4290,4860,5230,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238
4,DZA,4470,4600,5200,5520,5490,4850,4370,3950,3980,4010,1.80500474736452,1.88330858570333,1.95146367479529,2.00270360530766,2.03358715504452,2.0453720881528,2.05135237337878,2.04490931275225,2.00739866314238,1.93398334424168
5,ASM,..,..,..,..,..,..,..,..,..,..,-1.04826295347074,-0.588347444156001,-0.154365337947318,0.0861867792564065,0.132725922558567,0.026882443238318,-0.120130903326101,-0.219117153655893,-0.280883888014678,-0.269018785914943
6,AND,..,..,..,..,..,..,..,..,..,46040,-0.008288192290815,-0.839471761400757,-1.58992366767347,-2.03074436920753,-1.94651826894114,-1.55213476921424,-0.898980862435393,-0.38628103925755,0.0142852505031622,0.179041785311253
7,AGO,3220,3370,4080,4670,4830,3920,2480,2010,1900,2070,3.67149333263444,3.63415021537353,3.59775453949706,3.55199742692341,3.49744741099259,3.43886936840162,3.37826943218091,3.32215836256296,3.2761445879162,3.24291402840967
8,ATG,12690,12370,12780,12620,12760,12850,13580,14320,15880,16420,1.47279415442432,1.37637551869337,1.28802773688723,1.2126557898666,1.14304343305706,1.08418161589205,1.00909459019292,0.952914631258636,0.894078681398432,0.861445783881833
9,ARB,6291.94658321321,6320.28466072557,7038.8424176615,7436.62261454255,7475.88194511242,6995.51052215396,6563.46462456258,6148.39504322419,6316.51408002561,6509.02504963069,2.38321483027832,2.32938283425813,2.28022577330127,2.22347820095197,2.1605041123413,2.09550643402568,2.02374198504567,1.95522137783333,1.91996644194494,1.9097882611198
10,ARG,9270,10710,11890,12870,12350,12600,12220,13140,12430,11260,0.752217992640236,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046
11,ARM,3470,3530,3880,4110,4140,4010,3760,3950,4240,4660,-0.373954889662394,-0.0270427628367578,0.26742945492201,0.461930535014127,0.509812126446043,0.450705991935445,0.361260408326477,0.293899005891436,0.235799808401976,0.202624027586126
12,ABW,23090,23220,24330,25430,25750,26160,26650,27740,28330,28920,0.20973141399036,0.377979489354876,0.503385467824644,0.583290430309314,0.590508188771418,0.541048337127457,0.502859513587608,0.471874002595904,0.459265888430662,0.437414675818993
13,AUS,46690,50380,60260,66050,65180,60490,54090,51480,53070,54910,1.55548958906995,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.68452310845434,1.53610551570388,1.52165367749095
14,AUT,49750,50700,50100,50720,50390,47480,46240,45040,49010,51010,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876
15,AZE,5410,5570,6480,7450,7740,6610,4790,4110,4080,4510,1.18978770786007,1.30300085487651,1.32876382733755,1.29344702700591,1.24820899735588,1.19120985807018,1.11785721013911,0.98126180450475,0.866316916370841,0.846646726414021
16,BHS,28290,27900,28590,27600,28180,28810,28930,30580,31070,32420,1.51478477511973,1.30075351976794,1.10570789821922,0.980106184007713,0.93876021994633,0.959964408799924,0.990005732547738,1.00728534144547,1.01280016721917,0.993659489537656
17,BHR,18970,18160,22010,23790,24070,22580,21570,21250,22000,22230,4.60018474525212,2.96081559234807,1.69035809880424,1.15390705309184,1.5875995721769,2.64276663660774,3.85657694585171,4.67804747089484,4.92102429600582,4.4686878342058
18,BGD,800,890,970,1040,1110,1220,1430,1670,2040,2250,1.1248068966134,1.14382867124819,1.15400610453827,1.15595091365323,1.1429302161114,1.11909103277687,1.09528840382819,1.07553524898766,1.05357030023873,1.02919664944804
19,BRB,15540,15040,15730,15660,15630,15760,15940,16090,16610,17130,0.363612230788636,0.302945811200443,0.250933189719929,0.20986218775708,0.186604261703996,0.176093438142998,0.164937660504219,0.150692216122692,0.143488326481972,0.132831081778268
20,BLR,6150,6340,6630,7030,7620,6750,5640,5320,5730,6370,-0.218522755959381,-0.234282914157686,-0.156617600248906,-0.0383800002667846,0.056151567510169,0.132853236725342,0.0877210878706449,-0.109782322950581,-0.213824206997671,-0.201786600970723
21,BEL,47080,46490,47130,47900,47820,45570,43400,42520,46070,48050,0.913639391631709,1.3010029017038,0.620163579337378,0.471340143966627,0.44392928847521,0.579446241677791,0.506300002451376,0.385228018372369,0.455184695275022,0.540461327098122
22,BLZ,3910,4070,4120,4180,4290,4440,4370,4430,4560,4610,2.45178026956863,2.38129471621378,2.32413036818372,2.25427414346617,2.19127515015067,2.11686041760718,2.04936387658783,1.98239700826474,1.9229790570947,1.88259837762914
23,BEN,1080,1090,1120,1220,1270,1180,1110,1090,1200,1250,2.80597623284658,2.80376175488743,2.79772118064924,2.79071643360586,2.78209237028195,2.77183788570358,2.76136092814418,2.74990222166209,2.73485620295269,2.71521854979345
24,BMU,103480,101610,100100,101760,99920,101120,103620,112940,117000,117290,-0.783118104363585,-0.863616495823495,0.361775877335588,0.312791570829084,0.210544188304464,0.151869636092964,-1.05247097968271,-1.0605345960762,0.0704274978050419,-0.0109521313739413
25,BTN,2040,2240,2390,2410,2460,2520,2650,2800,2970,3150,1.051899559473,1.13070622314478,1.18793062766492,1.22581161024797,1.23391673082009,1.22080001903125,1.2045829397843,1.19507395930716,1.17777914017278,1.14637925209774
26,BOL,1780,2000,2250,2590,2830,2960,3040,3090,3370,3520,1.64358106824134,1.62235980079652,1.60004361529199,1.57457928674147,1.54497716852867,1.51294243320221,1.48019596651052,1.449144413215,1.42189080360535,1.39913335536684
27,BIH,4960,5010,4990,5270,5300,5210,5130,5120,5750,6170,-0.818853335966774,-1.20286774011291,-1.54695841535682,-1.74536474373628,-1.72230731218996,-1.52630451114807,-1.26472845809142,-1.03088019890592,-0.827063451812447,-0.692266996375143
28,BWA,5610,6610,7250,7570,7420,6430,6280,6380,6780,7170,1.70592328995544,1.41413550355517,1.19090216555368,1.12138806019311,1.25595158309984,1.52506854883531,1.83197313579572,2.06884765539921,2.1974164684246,2.1781688165261
29,BRA,9640,11070,12300,12770,12100,10170,8910,8680,9140,9220,0.937959306704135,0.915965178459778,0.893525506727112,0.873605695817564,0.855795964130977,0.838838953278811,0.823752152538353,0.807145245445964,0.783844259734468,0.751550842096973
30,VGB,..,..,..,..,..,..,..,..,..,..,2.77598026181127,1.88879853401238,1.15129386789758,0.681694348292795,0.466846183758763,0.560784501633955,0.707658970811351,0.719598502488329,0.76817196579097,0.795618290651402
31,BRN,33300,35520,42370,45320,43090,38850,33170,29800,29390,32230,1.22507149994452,1.29181506558269,1.33977207261274,1.34852076714032,1.31764439034594,1.24557202006897,1.168569853619,1.11102778339034,1.04964282773986,1.00574227362596
32,BGR,7010,7260,7490,7590,7700,7430,7400,7610,8530,9500,-0.658275446635908,-0.641228920515067,-0.579220596364389,-0.559647217410859,-0.568389264052903,-0.638069468160719,-0.701382097841331,-0.730443175298289,-0.722080405222853,-0.703905641117455
33,BFA,650,680,730,770,760,700,680,670,750,770,3.01921284414061,3.00904517611233,2.99740381221435,2.98166398413105,2.96187533312778,2.93935056790969,2.91521308067141,2.89075088175118,2.86697911426999,2.8445964977375
34,BDI,220,230,250,260,260,260,260,260,250,240,3.25619646076404,3.20771300738314,3.15978509519121,3.13349808169981,3.13675679189263,3.15690795388679,3.17701485540777,3.18120007897113,3.16691169681282,3.1289321480628
35,CPV,3400,3510,3440,3490,3360,3210,3130,3080,3400,3630,1.22066926970069,1.25346824532103,1.27140570454365,1.27811403978747,1.26912353358353,1.23949829305891,1.21227381499617,1.19012595595116,1.15884296629081,1.12865786215008
36,KHM,750,810,880,970,1020,1060,1140,1230,1380,1530,1.53915213466393,1.58885279806388,1.63044345047096,1.6498363404781,1.6381168470705,1.60368077118284,1.56521446599878,1.53027452708458,1.49034315597302,1.44641184190217
37,CMR,1400,1420,1420,1480,1540,1500,1440,1390,1490,1540,2.74773375136593,2.74047937968109,2.73124948919439,2.71824868984878,2.70152461390938,2.68184811095466,2.66050206631452,2.63775433447287,2.61228416133822,2.58417898206639
38,CAN,44490,47190,51080,52800,52200,47590,43890,42900,45080,46540,1.11186407517168,0.978697786570341,1.08581726304756,1.05659125917789,1.00533757867378,0.746339477969813,1.13234865466606,1.19952071057872,1.41245586917998,1.43613682316886
39,CSS,8962.46033719484,8808.92981873963,9497.06385222448,9894.70477656426,9889.08061092394,9895.47485218464,9364.2311646255,9371.60647089773,9640.75946344452,10027.456183241,0.689442961507453,0.705186275498178,0.71589821494662,0.716493416885356,0.703717300161514,0.67964574333412,0.653374589477409,0.626889344834524,0.601138270688168,0.576986134803036
40,CYM,70220,71050,49570,44030,42930,44380,48240,52840,59480,66880,2.41276783222714,2.10398074443089,1.85900594957737,1.63171430781768,1.51516795672215,1.42452783813017,1.35658032447898,1.29898766487121,1.23870690281221,1.20199712360386
41,CAF,510,530,570,380,390,400,410,440,490,520,1.12655511715726,0.723967672972794,0.401398611232931,0.259647553067029,0.364133903303029,0.647515777004538,0.985784078923095,1.2774834969372,1.5191174668345,1.67466162763351
42,CEB,12818.9859271522,12940.9227580643,13085.7860012346,13428.5333829452,13568.3378442905,13258.4303745629,12867.236621437,13090.4442525389,14665.1805348533,15933.9461315133,-0.361666299699507,-0.23693312734882,-0.229154983893395,-0.213201830007392,-0.209757192601487,-0.230243282701295,-0.255290913083385,-0.246809827629463,-0.196249607675014,-0.136492212077599
43,TCD,910,890,960,970,980,880,730,640,680,700,3.33466929345193,3.3635382470264,3.37076756399417,3.35106893405564,3.29689942062191,3.22199984419079,3.14393299725849,3.07750673636919,3.02350454795029,2.98613014725798
44,CHI,..,..,..,..,..,..,..,..,..,..,0.963188270893047,0.793249105093048,0.656884924921003,0.607833548801146,0.65292181113547,0.77695280580967,0.923845527837761,1.03937906031209,1.079140799544,1.03163477664924
45,CHL,10790,11930,14270,15180,14770,14130,13340,13260,14580,14900,1.03891170046699,0.997514840169031,0.96307999965156,0.978805917146093,1.06117867141393,1.17771785691816,1.32520687841934,1.42514142087535,1.39106423293431,1.18293256569455
46,CHN,4340,5040,5910,6740,7470,7890,8210,8670,9540,10310,0.482959688678361,0.546457594880274,0.678345458846803,0.666072977690069,0.630326389541893,0.581456146657648,0.573050906069647,0.605245013482969,0.467672053461959,0.354740890170827
47,COL,5630,6320,7290,7960,8210,7330,6460,5940,6270,6570,1.05064996242948,0.968365031109833,0.900335047336095,0.906920982436048,1.0104897504141,1.1704451989867,1.3676499516175,1.51374743470421,1.52423594388212,1.35678804331132
48,COM,1380,1410,1420,1490,1490,1380,1320,1280,1370,1380,2.41327037744548,2.41826786302,2.41713114831259,2.4085085351559,2.38254831579554,2.34845598521899,2.30927369612098,2.27324455021872,2.23941634435226,2.20646505841421
49,COD,320,340,380,410,440,460,470,460,500,530,3.33113330807202,3.33767597445113,3.33757066956072,3.33135585036626,3.31967815794583,3.3028191819646,3.28293417455056,3.25850577170009,3.22669886135312,3.18708626507603
50,COG,2750,2710,3500,3750,3990,3100,2220,1700,1790,1810,3.04895683882158,2.79427264189258,2.59092527223385,2.46504470838409,2.440535491773,2.48375698671647,2.53956659003454,2.57067057638817,2.58172086705774,2.56282646096789
51,CRI,7260,8090,9280,9930,10350,10700,11100,11500,11970,12120,1.24493397923295,1.20983529009945,1.17835234575071,1.14757030077983,1.1172644537537,1.0870985434196,1.05736605443833,1.02787999000234,0.994802059847413,0.957865009385917
52,CIV,1230,1110,1240,1350,2020,2050,2050,2030,2180,2290,2.33453614556572,2.38552681012208,2.43594320427159,2.47667884960598,2.50449558970766,2.52216477826712,2.53612860524997,2.54778157022741,2.55232234123969,2.54938709160815
53,HRV,14220,14230,13610,13760,13500,13270,12680,12980,14410,15540,-0.226821270818422,-0.345264228485821,-0.305655944795909,-0.278509062850129,-0.407343184777633,-0.824099163913538,-0.69838345731273,-1.20061016480925,-0.893486927711056,-0.554146739042888
54,CUB,5200,5630,6110,6640,6840,7230,7480,7950,8630,..,-0.0078209400275259,0.0964985990967583,0.1817480467984,0.22724223275672,0.214142579335342,0.157902541706838,0.0911831698686808,0.036578756776887,-0.00978066226269748,-0.0411262892496893
55,CUW,..,..,..,19890,19760,19520,19030,18960,19430,19700,1.26551415533004,1.42089766276671,0.829929595036991,1.13367890654299,1.34764139563651,1.31959390251523,1.06031644056836,0.319536038312865,-0.525178744011738,-1.19643951751799
56,CYP,32040,32550,29680,27830,26530,26010,24720,24960,27330,28600,1.31435017990175,1.09232382023245,0.903504247637881,0.774057448341904,0.734358831588459,0.751316386354157,0.789476881596144,0.808217946249284,0.80854929846874,0.779957016025289
57,CZE,19400,19460,19440,19410,18900,18370,17670,18310,20560,22110,0.29136167418042,0.206747667335417,0.139925655740972,0.0331699460503076,0.105277581527518,0.196588748472653,0.192048415842684,0.265642663548985,0.334427262299794,0.393788864202175
58,DNK,61220,61990,61650,63200,63670,60510,58040,56690,61260,63460,0.444197154509531,0.411737855195019,0.376272242619955,0.416901360752097,0.507053283010163,0.706423849687002,0.780392644135167,0.643350903737356,0.495838925879129,0.358130915892652
59,DJI,..,..,..,..,..,2540,2640,2730,2910,3110,1.48370781049189,1.59130561077479,1.6802510753989,1.73119808534073,1.72966983945298,1.68713196053581,1.64062894888599,1.59974199816625,1.55786869505917,1.51455950269865
60,DMA,6730,6920,6850,6700,7040,6920,7270,7270,7800,8210,0.0409243258489963,0.0493691340102498,0.0592108062919439,0.091566712743407,0.101329964338399,0.118088664559983,0.1852866155223,0.214335327593936,0.23202839477624,0.253775391715059
61,DOM,5330,5540,5790,6030,6330,6580,6860,7090,7780,8100,1.22855325822389,1.21079976113526,1.19223652132696,1.17433819883707,1.15722499834282,1.13948330027521,1.12250979934744,1.10348624035038,1.07886200909288,1.04662057856427
62,EAR,2794.61074115554,3011.39646228251,3304.11377072441,3427.03280114147,3457.64323166445,3336.23982637304,3297.3136770411,3356.65862186891,3524.05566105181,3583.57225728639,1.52282062146607,1.49614799160219,1.45432355830573,1.42726346962804,1.40270801807661,1.37907753512323,1.35428545911229,1.32869883249593,1.30759887707752,1.28916576664504
63,EAS,7362.61427356094,8171.85185951216,9137.01904564552,9730.28863785911,9951.48415592898,9831.57147902454,9907.04529329226,10242.7151311271,11108.8970228457,11702.6754085493,0.676314793294381,0.711097483011059,0.797946808180086,0.785237699791821,0.760505772872392,0.722074344255347,0.707112182416367,0.711239441813305,0.618076200643685,0.540630062102679
64,EAP,3755.32160071509,4342.45436799393,5078.2914778995,5707.12778966166,6205.49539990709,6455.55940415309,6662.47405853509,7001.5623284897,7680.85263745823,8266.72217438276,0.713952784552262,0.762252456580924,0.855373834810209,0.845605458430001,0.814305939670419,0.770191502404288,0.752490431152935,0.763178898392567,0.659751380676312,0.57488397616558
65,TEA,3798.09820176587,4391.77681512784,5135.75214589506,5771.48346949312,6275.23998448055,6527.88756676961,6736.89451282923,7079.51832816746,7766.19477956563,8358.45335823533,0.716800707666664,0.765513664057792,0.859685553922802,0.849724072532169,0.818079492533002,0.773549980892611,0.755764134866354,0.766692193794924,0.662116174211008,0.57637572311593
66,ECU,4400,4880,5390,5810,6110,5970,5800,5860,6090,6090,1.58940945340249,1.5387578951487,1.4989154903973,1.49689924339943,1.54370951998338,1.61793842153926,1.70687458770944,1.76850279585209,1.76565269522798,1.67917269268893
67,EGY,2370,2560,2840,3030,3230,3340,3440,3030,2790,2690,1.98480507963281,2.11377559615712,2.21474099517289,2.26795425995553,2.25925135870425,2.20702533886058,2.14522226806526,2.09083266789985,2.0332723991851,1.97628022437557
68,SLV,2880,3060,3210,3350,3400,3440,3510,3600,3820,3980,0.424566261779668,0.43067750767237,0.439491797451583,0.450320730659221,0.462504406912423,0.475379938992478,0.489163801354667,0.501983868180685,0.509273429616579,0.509699113997832
69,GNQ,9970,11540,13870,14030,13230,10850,8270,6510,6730,6320,4.55859753598786,4.47844612368567,4.39405251755149,4.29188431716242,4.17228049316185,4.04289647772825,3.910797910143,3.78110663523236,3.65334093213133,3.52884025293578
70,ERI,510,600,..,..,..,..,..,..,..,..,1.60620728106538,1.36371886893331,1.1180373862657,0.95993162811431,0.909803592359427,0.942981580368309,1.0042683597868,1.07037642858431,1.1624015499457,1.27542875493828
71,EST,14580,15840,16760,18140,18880,18570,18290,18760,21200,23050,-0.22805796852935,-0.303582823643979,-0.357944411443807,-0.355891802625531,-0.262256175097854,0.0655525295417938,0.0291122255540077,0.121070631466687,0.348039137980543,0.368313695574019
72,SWZ,3460,3860,4310,4420,4130,3800,3450,3390,3620,3710,0.695379475450237,0.672762228049404,0.674567033429102,0.697837862901262,0.749729090602264,0.819991316155699,0.897738794178433,0.966059893032549,1.014213397419,1.03826564467004
73,ETH,380,390,410,470,550,600,670,740,800,850,2.78375692665143,2.81261373694903,2.82962796762188,2.82701488481635,2.79992468847357,2.75611161556288,2.70807265338359,2.66341448153029,2.61996917105787,2.57969708764895
74,EMU,39883.0734303935,40383.3333827017,39315.35864471,39502.2846514266,39387.497160966,37740.7098224641,36359.2237188488,35888.5077258854,38870.6447910394,40312.1050536951,0.23574335028826,-0.21770720618153,0.220482904555837,0.339991290852652,0.343941814227193,0.303179467875282,0.292608835138282,0.216013924152847,0.223297038948303,0.0889478148948371
75,ECS,24606.4713666245,25069.7323083309,25378.9895577678,26068.4580401325,26091.5974231955,24726.1200793451,23416.2875830608,22917.6295051068,24467.2729647858,25378.3396798714,0.390690539138077,0.251411099970639,0.406589391763276,0.47739192080256,0.483880291812994,0.476733283000868,0.463313674591674,0.410357130364773,0.374230581423191,0.302446958071585
76,ECA,7414.59474099456,8083.71330167992,9345.99285442432,10322.4210871649,10198.9143583345,8828.14777657489,7652.59149231914,7315.6019927577,7693.82460537324,8050.97345337605,0.574768039765388,0.61556595688954,0.615022956564417,0.672966353057603,0.667702436320198,0.680088324637268,0.660634966718405,0.616357387217434,0.543599572820241,0.498230144190813
77,TEC,7997.87509215611,8581.80261105843,9687.24686677666,10571.0844790946,10491.6544364984,9279.26238991132,8206.79185500416,7936.52499029184,8446.51787951771,8911.24550567235,0.437868981383986,0.506814531151448,0.505002383636622,0.554046335963704,0.547809576527783,0.551979789113389,0.534920712986491,0.497631192047891,0.437056224621529,0.402187492413276
78,EUU,34804.5848769181,35262.6702171978,34543.2744288995,34848.9770025338,34817.7778259631,33421.9762658544,32200.3926871901,31865.2726818601,34588.9882336518,36005.2587887779,0.139394235979154,-0.177886373302854,0.147238215165672,0.243212931975847,0.250233310447911,0.218020030020739,0.212345573780311,0.156820031833419,0.163332878695186,0.0632554128908964
79,FRO,..,..,..,..,..,..,..,..,..,..,-0.0230084609400646,0.025099876724043,0.0585418904841778,0.121156431932627,0.133519724423689,0.187461000533659,0.245250985462817,0.31710199733865,0.353222225693126,0.370469890859404
80,FJI,3650,3770,4140,4710,5020,5100,5280,5370,5910,5800,0.721353944911169,0.421873730679218,0.186749844268206,0.0620570008249373,0.0975723050605574,0.251861863930646,0.433535156741165,0.577645837253693,0.684860282111394,0.729092657357544
81,FIN,49750,50260,48970,49510,49420,47180,45530,44840,48220,49940,0.457494535465831,0.463558707499131,0.475809486683209,0.460723772785295,0.413560207519414,0.329383885818507,0.287421401687637,0.234670531705453,0.132641040791912,0.110191690491055
82,FCS,2146.00978590432,2022.05291717091,2186.61277151156,2246.33563478987,2295.85606703707,2028.74936716875,1868.03269095143,1769.37158551708,1757.63284955723,1824.28379536428,2.34324635431955,2.35625588742796,2.36710687080392,2.35235870167425,2.2974734891164,2.25591710696065,2.19393913761144,2.14690649276656,2.13472068952431,2.1652468755383
83,FRA,43970,44440,43410,43800,43340,41130,39100,38320,41200,42550,0.494040602950225,0.483675544447657,0.483998961260596,0.514773829097755,0.473706907839969,0.355569240058298,0.263868788565368,0.29020211635109,0.274451849056795,0.218824148997353
84,PYF,..,..,..,..,..,..,..,..,..,..,0.448745827848425,0.46915658616853,0.481837052041604,0.495804118415203,0.509552892497902,0.516123546754037,0.532049201477854,0.556400386544863,0.565206883686247,0.578860345386691
85,GAB,7850,8120,9090,9330,9330,7970,7080,6510,6830,7170,3.45914677152663,3.65632223436154,3.78858379514105,3.77941142417916,3.60662305351134,3.33525107312594,3.04363801829034,2.79587459437534,2.60348679566927,2.48404317871067
86,GMB,890,760,760,730,650,620,620,660,720,750,2.99568796782189,3.01796344575918,3.03116971169135,3.03420154965796,3.02595091827443,3.00872083418281,2.98837300675649,2.96906958481079,2.94601268814255,2.92186286632026
87,GEO,3210,3520,4150,4530,4740,4410,4080,4040,4460,4690,-0.729475256932528,-0.802164039694326,-0.736565518814038,-0.300972141406188,0.0469539002549217,0.157481405176007,0.0598165991047394,0.0133860746662629,-0.0390365463489613,-0.171565740223868
88,DEU,44680,47320,46560,47220,47640,45780,44280,43760,47470,49190,-0.153198446937304,-1.8537146287573,0.187727800567293,0.272900214681538,0.416877359168292,0.865702643950251,0.807218538573871,0.373724559895838,0.300526701992065,0.22551987421288
89,GHA,1240,1380,1530,1840,1880,1940,1810,1880,2120,2230,2.48700897388359,2.42440178256109,2.36948272778757,2.32382860718794,2.29181383680384,2.26877798247593,2.24660996015773,2.22050488189039,2.19285287421765,2.16258446185622
90,GIB,..,..,..,..,..,..,..,..,..,..,0.0685064139857829,0.0684595148253082,0.13380712958216,0.121757480110976,0.0949273283980588,0.0474298935790141,-0.0118553645663418,-0.0444701390350008,-0.023725496122441,-0.0266979132717019
91,GRC,27610,24560,23180,22430,22010,20190,18640,17960,19080,19670,0.128880432668041,-0.147951277402184,-0.540752950543684,-0.725120806658085,-0.666113290031891,-0.658861360878339,-0.415913028277122,-0.197783224759792,-0.202880238259165,-0.105339392724138
92,GRL,..,..,..,..,..,..,..,..,..,..,1.02802332572502,-0.0263631971297131,-0.14072121935205,-0.577265864735276,-0.333398666658893,-0.322038549275343,0.128227978389047,-0.0267006062623867,-0.263828878276887,0.359917714454119
93,GRD,6940,7060,7030,7350,7520,7750,8350,8740,9610,9750,0.415067525443612,0.524851800808174,0.621740443257645,0.667831666227163,0.670747705283378,0.64347164631606,0.600367480579,0.552600021547813,0.517266573481224,0.494964112035921
94,GUM,..,..,..,..,..,..,..,..,..,..,0.129914569643424,0.15730319197367,0.18768774278448,0.265289398890178,0.368363503065816,0.522831661338121,0.675497259109631,0.814724473342243,0.902290919869412,0.915743567783526
95,GTM,2730,2910,3160,3380,3550,3700,3870,4100,4400,4610,1.83655642844003,1.81948775605672,1.77749578673149,1.75716769812924,1.72875760277972,1.69146509302391,1.65807331834237,1.62765379973835,1.60038598150372,1.56038604781094
96,GIN,690,680,700,700,740,760,780,820,860,950,2.25938161116451,2.21515030486438,2.197958681877,2.23532763160631,2.34225412440163,2.4898348435131,2.64435773103833,2.764879904347,2.8331175118102,2.83478481749442
97,GNB,580,640,630,640,640,640,650,680,720,800,2.57341352656849,2.61831220530319,2.65074262506761,2.66076608274062,2.644755927701,2.6111512533031,2.57011948297183,2.53224925787499,2.4935051959006,2.45652856791883
98,GUY,4510,4820,5290,5540,5570,5470,5600,5910,6290,6630,0.228701604144641,0.346196945211445,0.445663749260621,0.514040832989459,0.537221878235554,0.530702759294195,0.510790065048753,0.498520023687447,0.487575158848574,0.482526666451711
99,HTI,1130,1240,1300,1390,1430,1410,1360,1340,1410,1390,1.53210280667313,1.50631004058552,1.48005462449313,1.45027666858973,1.41613128249998,1.37950998738794,1.34139498435713,1.3050204632281,1.27405022512994,1.24985422874917
100,HPC,783.653846945433,819.1784956732,861.264073391683,915.895585976056,979.277427484407,972.427645331394,961.429240264603,974.181061156424,976.419431013861,992.561498149362,2.81720564779226,2.83587468593728,2.84653958702197,2.85053897929042,2.84584520269364,2.83412658229574,2.82103712571693,2.80598640542024,2.78331770736698,2.75219402545403
101,HIC,39344.1388106561,40657.5953522159,42001.709178159,42814.2384529903,42973.3916309879,41753.3900609787,40885.146539535,41181.5564898598,44073.222123883,45604.7584975013,0.642976577371329,0.459437023950372,0.574439617944961,0.577715113483677,0.589986802434723,0.570279710083611,0.570652896451264,0.504437981142544,0.465442831525877,0.406023769568691
102,HND,1740,1880,1970,2010,2010,2060,2120,2250,2330,2390,2.02441331695389,1.94316947523917,1.86932160846233,1.81013079423251,1.76927098953001,1.74147410181564,1.71775974956218,1.69227148219463,1.66708222728063,1.64061784169287
103,HKG,33620,35690,36340,38570,40240,41180,42970,46380,50050,50480,0.734446396338105,0.672543291818633,1.1039579972368,0.401982535858444,0.702370950536049,0.851197911086988,0.619366345332479,0.768513877614955,0.800230596967774,0.739283471323064
104,HUN,13270,13260,13090,13520,13560,13230,13100,13190,14980,16520,-0.226013875689698,-0.283360435946948,-0.516437606548041,-0.27536875707442,-0.269378767165116,-0.237855001984657,-0.295110604845478,-0.265860932255517,-0.126786951652838,-0.0452557101106228
105,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
106,ISL,36270,37610,40690,46960,48090,49940,54910,60230,67760,72900,-0.143903000294037,0.305468368224399,0.532100734916982,0.945885900369151,1.11250475522796,1.04194038662969,1.38808149583838,2.34558267643862,2.67814276922904,2.19893225826166
