,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
0,AFG,510,21.741485654167413,64.486,2.38430907940751,37171922,..,3.19979000091553,74.505,..,25.495,68.96605,66.94454,68.25744,72.18289,68.05715,67.2032,64.00314,61.77561,70.25405,62.48616
1,AGO,1900,49.60658575105186,60.782,3.2761445879162,30809787,32.3,2.04470133781433,34.486000000000004,..,65.514,24.1984,24.67357,24.0083,24.53186,24.11941,25.03078,26.0812,25.44195,25.85236,27.16477
2,ALB,4860,42.720264348661246,78.458,-0.246732042281782,2866376,23,..,39.681,94.52966,60.319,21.9487,22.9965,21.70175,19.77038,19.13142,18.98271,18.14981,19.00622,19.75808,16.27997
3,AND,..,..,..,0.0142852505031622,77008,..,3.2467200756073,11.938000000000002,..,88.062,11.42903,11.66004,10.79727,10.14877,9.34741,9.94171,9.06227,9.30733,9.21394,8.52423
4,ARE,41470,16.933394884621272,77.814,1.50393782063358,9630966,..,..,13.477999999999994,..,86.522,43.70844,43.53498,43.93421,42.88311,41.33546,43.92792,42.88604,43.32676,43.09622,41.7495
5,ARG,12430,42.982509556851674,76.52,1.01580834908002,44494502,32,4.87773990631104,8.129999999999995,..,91.87,13.13748,13.22056,12.94834,14.01846,13.56491,14.18288,13.93109,13.23692,12.60073,12.04087
6,ARM,4240,44.233713414541135,74.945,0.235799808401976,2951741,..,2.25587010383606,36.851,90.72273,63.149,40.89928,46.45905,45.89738,42.84965,40.55938,40.58537,40.0427,37.75576,37.0863,34.12674
7,ATG,15880,..,76.885,0.894078681398432,96282,..,2.64407563209534,75.401,95.69547,24.599,8.16597,7.79362,8.19812,8.05258,8.49694,8.89159,8.9538,9.26532,8.86972,8.29693
8,AUS,53070,46.57311981168965,82.7487804878049,1.53610551570388,24982688,..,5.12344980239868,13.988,..,86.012,9.03381,8.0759,7.31418,7.25562,6.91137,6.6018,6.6731,6.88756,7.10973,8.93323
9,AUT,49010,46.65997949976149,81.69268292682928,0.487071924768999,8840521,13.3,5.22452020645142,41.703,..,58.297,15.62129,15.98621,14.24784,13.98012,12.98472,13.62845,12.27973,12.31771,12.67567,11.50796
10,AZE,4080,48.75858552367963,72.864,0.866316916370841,9939771,..,2.45543003082275,44.32,92.42467,55.68,30.1081,33.92017,33.58166,31.35332,29.929,29.66727,28.84057,27.47704,26.96124,24.64286
11,BDI,250,51.661209372902036,61.247,3.16691169681282,11175379,..,5.07864999771118,86.968,92.8047,13.032,27.83957,27.69889,28.28679,28.2065,28.28168,28.3709,28.36512,27.63488,27.98169,27.99587
