,Country:,City Average PM2.5:,Total Average PM2.5:
0,AFG,67.01302,90.17078
1,AGO,25.11026,29.80814
2,ALB,19.77255,20.10598
3,AND,16.73588,16.30273
4,ARE,36.94973,34.5509
5,ARG,19.38825,19.58284
6,ARM,33.48064,37.28676
7,ATG,8.40042,8.50639
8,AUS,10.29522,11.37614
9,AUT,20.43575,23.01256
10,AZE,27.95497,30.02521
11,BDI,23.00539,24.16322
12,BEL,19.95481,20.97639
13,BEN,35.48659,39.68475
14,BFA,45.50366,53.40899
15,BGD,38.37499,41.81693
16,BGR,33.69683,34.63388
17,BHR,34.06703,33.80408
18,BHS,16.98425,20.15457
19,BIH,25.54416,31.03045
20,BLR,13.61082,14.90839
21,BLZ,17.24089,18.13976
22,BOL,21.12029,22.93217
23,BRA,11.14016,11.71126
24,BRB,9.43202,9.5457
25,BRN,14.20603,14.54393
26,BTN,17.03831,18.16258
27,BWA,21.91678,27.26536
28,CAF,15.77311,19.03055
29,CAN,9.69033,10.63756
30,CHE,17.67412,19.52208
31,CHL,41.302,42.89801
32,CHN,41.73539,49.18326
33,CIV,49.641,57.25314
34,CMR,42.40302,48.65521
35,COD,30.56065,36.25574
36,COG,16.22866,18.64857
37,COK,15.33247,17.26169
38,COL,14.18383,14.84932
39,COM,27.85714,29.641
40,CPV,20.87141,22.05027
41,CRI,14.04448,18.88473
42,CUB,15.43236,18.13869
43,CYP,17.72332,18.83479
44,CZE,13.7897,15.19204
45,DEU,18.74609,19.46063
46,DJI,10.75785,10.96437
47,DNK,10.81927,11.99544
48,DOM,7.67425,8.06071
49,DZA,22.37053,23.14749
50,ECU,17.26595,18.00874
51,EGY,61.55409,64.91169
52,ERI,22.5259,24.22616
53,ESP,10.99349,12.02697
54,EST,7.08745,7.44738
55,ETH,22.13,23.77366
56,FIN,6.00278,7.30696
57,FJI,9.00454,9.53205
58,FRA,10.95809,12.49728
59,FSM,14.78622,17.54451
60,GAB,20.65242,25.36568
61,GBR,16.02339,17.79547
62,GEO,30.90796,35.8296
63,GHA,43.46279,51.40735
64,GIN,38.09522,44.17553
65,GMB,37.26979,42.77654
66,GNB,31.19182,37.07822
67,GNQ,23.13009,26.15208
68,GRC,13.13522,13.99491
69,GRD,19.9544,21.9658
70,GTM,15.58289,17.1975
71,GUY,18.67142,19.65446
72,HND,20.22768,20.55228
73,HRV,12.78627,13.20361
74,HTI,15.10182,16.82933
75,HUN,18.34065,20.56431
76,IDN,41.25004,45.77478
77,IND,26.71093,29.31546
78,IRL,21.03232,23.35578
79,IRN,35.43873,40.53705
80,IRQ,19.64842,22.29175
81,ISL,15.73659,16.73143
82,ISR,19.03696,20.56618
83,ITA,15.01424,17.25374
84,JAM,21.16034,22.55139
85,JOR,18.19878,18.78675
86,JPN,24.03257,33.41707
87,KAZ,18.93439,22.67004
88,KEN,33.2626,33.2062
89,KGZ,27.22649,28.96766
90,KHM,11.64027,12.42491
91,KIR,7.9835,8.03132
92,KOR,27.12694,27.40376
93,KWT,65.13078,68.84157
94,LAO,21.1645,24.9208
95,LBN,23.97212,24.43145
96,LBR,35.04616,41.15687
97,LBY,29.6984,27.92864
98,LCA,12.09329,12.37912
99,LKA,22.74441,24.50292
100,LSO,16.81101,19.51425
101,LTU,11.59114,12.8315
102,LUX,11.27967,12.07786
103,LVA,13.31119,16.74938
104,MAR,13.04101,13.49763
105,MCO,13.23953,14.17551
106,MDA,14.85634,18.29149
107,MDG,14.1562,15.78391
108,MDV,18.60942,19.35268
109,MEX,12.17687,12.70867
110,MHL,26.78778,34.64796
111,MKD,36.81201,46.51429
112,MLI,19.43373,21.59411
113,MLT,24.84209,25.56433
114,MMR,24.66428,23.78196
115,MNE,42.831,60.87184
116,MNG,21.74697,26.92707
117,MOZ,36.62698,46.96618
118,MRT,16.94279,18.98894
119,MUS,17.0774,18.76236
120,MWI,21.1844,24.78779
121,MYS,13.77671,16.03232
122,NAM,42.69544,50.33748
123,NER,54.07257,54.65945
124,NGA,27.32515,28.25412
125,NIC,11.68483,12.11331
126,NLD,10.11708,11.01921
127,NOR,20.0255,21.27351
128,NPL,25.95413,26.30743
129,NRU,7.4775,7.48354
130,NZL,24.51957,26.2378
131,OMN,48.23346,51.37486
132,PAK,30.02931,31.28942
133,PAN,23.18566,24.97063
