Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Afghanistan,AFG,510,530,630,650,630,590,550,530,510,520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Africa Eastern and Southern,AFE,1449.38694982585,1586.63986097829,1698.80815719012,1731.83465927064,1712.65340895441,1595.75352120869,1475.97971641498,1459.51755385162,1464.99537466535,1506.73192051311
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Africa Western and Central,AFW,1575.91545569087,1605.75683572412,1774.06726894128,1931.83150163743,2094.40501122793,2005.30632501013,1782.17439426541,1611.49767282406,1611.87005089623,1669.28410605469
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Albania,ALB,4360,4410,4360,4540,4540,4390,4320,4290,4860,5230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Algeria,DZA,4470,4600,5200,5520,5490,4850,4370,3950,3980,4010
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,46040
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Angola,AGO,3220,3370,4080,4670,4830,3920,2480,2010,1900,2070
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Antigua and Barbuda,ATG,12690,12370,12780,12620,12760,12850,13580,14320,15880,16420
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Arab World,ARB,6291.94658321321,6320.28466072557,7038.8424176615,7436.62261454255,7475.88194511242,6995.51052215396,6563.46462456258,6148.39504322419,6316.51408002561,6509.02504963069
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Argentina,ARG,9270,10710,11890,12870,12350,12600,12220,13140,12430,11260
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Armenia,ARM,3470,3530,3880,4110,4140,4010,3760,3950,4240,4660
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Aruba,ABW,23090,23220,24330,25430,25750,26160,26650,27740,28330,28920
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Australia,AUS,46690,50380,60260,66050,65180,60490,54090,51480,53070,54910
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Austria,AUT,49750,50700,50100,50720,50390,47480,46240,45040,49010,51010
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Azerbaijan,AZE,5410,5570,6480,7450,7740,6610,4790,4110,4080,4510
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Bahamas, The",BHS,28290,27900,28590,27600,28180,28810,28930,30580,31070,32420
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bahrain,BHR,18970,18160,22010,23790,24070,22580,21570,21250,22000,22230
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bangladesh,BGD,800,890,970,1040,1110,1220,1430,1670,2040,2250
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Barbados,BRB,15540,15040,15730,15660,15630,15760,15940,16090,16610,17130
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belarus,BLR,6150,6340,6630,7030,7620,6750,5640,5320,5730,6370
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belgium,BEL,47080,46490,47130,47900,47820,45570,43400,42520,46070,48050
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Belize,BLZ,3910,4070,4120,4180,4290,4440,4370,4430,4560,4610
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Benin,BEN,1080,1090,1120,1220,1270,1180,1110,1090,1200,1250
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bermuda,BMU,103480,101610,100100,101760,99920,101120,103620,112940,117000,117290
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bhutan,BTN,2040,2240,2390,2410,2460,2520,2650,2800,2970,3150
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bolivia,BOL,1780,2000,2250,2590,2830,2960,3040,3090,3370,3520
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Bosnia and Herzegovina,BIH,4960,5010,4990,5270,5300,5210,5130,5120,5750,6170
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Botswana,BWA,5610,6610,7250,7570,7420,6430,6280,6380,6780,7170
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,9640,11070,12300,12770,12100,10170,8910,8680,9140,9220
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brunei Darussalam,BRN,33300,35520,42370,45320,43090,38850,33170,29800,29390,32230
