,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),City Average PM2.5,Total Average PM2.5
0,AFG,510,21.741485654167413,64.486,2.38430907940751,37171922,..,3.19979000091553,74.505,..,25.495,62.62715,83.69929
1,AGO,1900,49.60658575105186,60.782,3.2761445879162,30809787,32.3,2.04470133781433,34.486000000000004,..,65.514,24.89319,29.17626
2,ALB,4860,42.720264348661246,78.458,-0.246732042281782,2866376,23,..,39.681,94.52966,60.319,18.91197,19.30985
3,AND,..,..,..,0.0142852505031622,77008,..,3.2467200756073,11.938000000000002,..,88.062,20.20679,19.39916
4,ARE,41470,16.933394884621272,77.814,1.50393782063358,9630966,..,..,13.477999999999994,..,86.522,33.95596,31.70214
5,ARG,12430,42.982509556851674,76.52,1.01580834908002,44494502,32,4.87773990631104,8.129999999999995,..,91.87,22.58488,23.43336
6,ARM,4240,44.233713414541135,74.945,0.235799808401976,2951741,..,2.25587010383606,36.851,90.72273,63.149,30.30894,33.63577
7,ATG,15880,..,76.885,0.894078681398432,96282,..,2.64407563209534,75.401,95.69547,24.599,8.15061,8.27336
8,AUS,53070,46.57311981168965,82.7487804878049,1.53610551570388,24982688,..,5.12344980239868,13.988,..,86.012,10.88272,12.16878
9,AUT,49010,46.65997949976149,81.69268292682928,0.487071924768999,8840521,13.3,5.22452020645142,41.703,..,58.297,22.16108,24.8675
10,AZE,4080,48.75858552367963,72.864,0.866316916370841,9939771,..,2.45543003082275,44.32,92.42467,55.68,28.08702,29.95659
11,BDI,250,51.661209372902036,61.247,3.16691169681282,11175379,..,5.07864999771118,86.968,92.8047,13.032,21.51987,22.69781
12,BEL,46070,46.60717644232285,81.59512195121953,0.455184695275022,11427054,14.8,6.38137006759644,1.9989999999999952,..,98.001,21.85288,22.8326
13,BEN,1200,49.52362974853586,61.47,2.73485620295269,11485035,..,2.93161988258362,52.688,97.21103,47.312,36.2545,41.32254
14,BFA,750,44.92583788315502,61.174,2.86697911426999,19751466,41.4,5.488609790802,70.642,78.64517,29.358,46.42323,53.70598
15,BGD,2040,30.786757820456163,72.32,1.05357030023873,161376713,..,..,63.368,..,36.632,35.42524,38.60722
16,BGR,8530,46.16090103325244,74.96341463414636,-0.722080405222853,7025037,..,..,24.992000000000004,..,75.008,36.66883,37.42127
17,BHR,22000,20.43372205993334,77.163,4.92102429600582,1569440,..,2.36660718917847,10.712999999999994,96.71489,89.287,29.14975,28.87713
18,BHS,31070,50.10797246587011,73.752,1.01280016721917,385635,..,2.24967384338379,16.974999999999994,74.22717,83.025,19.63024,23.58796
19,BIH,5750,38.536261629821524,77.262,-0.827063451812447,3323929,..,..,51.755,..,48.245,24.2191,29.20198
20,BLR,5730,49.04031129031717,74.17560975609757,-0.213824206997671,9438785,5.6,5.38111019134521,21.405,94.92861,78.595,13.08162,14.1672
21,BLZ,4560,38.77188263772759,74.496,1.9229790570947,383071,..,7.47227001190186,54.276,95.94237,45.724,18.89883,20.048
22,BOL,3370,44.44759866286452,71.239,1.42189080360535,11353140,..,8.89999961853027,30.575000000000003,92.85137,69.425,19.98625,21.68471
23,BRA,9140,43.51690070528374,75.672,0.783844259734468,209469320,..,6.08851003646851,13.430999999999997,..,86.569,11.01997,11.51062
24,BRB,16610,48.84706038575175,79.081,0.143488326481972,286640,..,5.42886018753052,68.85300000000001,96.69287,31.147,9.19824,9.33364
25,BRN,29390,42.012607163203015,75.722,1.04964282773986,428960,..,..,22.370999999999995,93.14673,77.629,16.4408,15.75846
26,BTN,2970,40.061454090431006,71.46,1.17777914017278,754396,..,6.85084009170532,59.105,88.02597,40.895,16.89344,18.07632
27,BWA,6780,49.32336940088739,69.275,2.1974164684246,2254067,..,6.72130727767944,30.554000000000002,..,69.446,22.04511,27.34429
28,CAF,490,45.38519473488128,52.805,1.5191174668345,4666375,..,1.56587600708008,58.636,..,41.364,15.62759,18.86521
29,CAN,45080,47.501167593926965,82.04878048780488,1.41245586917998,37065084,..,..,18.589,..,81.411,9.41345,10.32598
30,CHE,83280,46.59195241163804,83.75365853658538,0.736633975172522,8514329,16,4.86325979232788,26.203000000000003,..,73.797,17.82354,19.67499
31,CHL,14580,42.13605929900436,80.042,1.39106423293431,18729166,..,5.43316984176636,12.436000000000007,..,87.564,41.34504,42.9638
32,CHN,9540,44.702781867327964,76.704,0.467672053461959,1402760000,1.7,3.54249000549316,40.848,..,59.152,42.06134,49.66959
33,CIV,2180,40.75011418173315,57.422,2.55232234123969,25069226,39.5,3.23993992805481,49.221,90.32837,50.779,50.2025,57.95327
34,CMR,1490,46.8006607764314,58.921,2.61228416133822,25216261,..,3.03096008300781,43.626,..,56.374,42.51798,48.74179
35,COD,500,47.88220849676159,60.368,3.22669886135312,84068092,..,..,55.54,..,44.46,30.52806,36.30227
36,COG,1790,49.6510817646761,64.29,2.58172086705774,5244363,..,2.99548006057739,33.084,..,66.916,16.25092,18.66825
37,COL,6270,42.96651069340891,77.109,1.52423594388212,49661056,..,4.44910001754761,19.221999999999994,92.91999,80.778,14.20946,14.8759
38,COM,1370,37.14025140844438,64.118,2.23941634435226,832322,..,..,71.035,80.75383,28.965,27.78457,29.54763
39,CPV,3400,43.81061968340337,72.782,1.15884296629081,543764,..,5.36884689331055,34.268,93.42191,65.732,20.57957,21.73649
40,CRI,11970,38.83964017507506,80.095,0.994802059847413,4999443,22.9,6.76991987228394,20.659999999999997,97.33255,79.34,14.10129,18.93486
41,CUB,8630,38.15411590775022,78.726,-0.0097806622626974,11338146,..,..,22.962999999999994,97.73994,77.037,15.34786,18.0405
42,CYP,27330,46.09945961001883,80.828,0.80854929846874,1189262,14.7,..,33.19,..,66.81,17.59362,18.69268
43,CZE,20560,44.62971690431109,79.02926829268293,0.334427262299794,10629928,10.1,4.26692008972168,26.208,..,73.792,13.58371,14.94858
44,DEU,47470,46.590849844537516,80.89268292682927,0.300526701992065,82905782,..,4.97576999664307,22.688000000000002,..,77.312,18.66926,19.41755
45,DJI,2910,26.07778959337467,66.582,1.55786869505917,958923,..,3.62773990631104,22.223,61.80335,77.777,11.15658,11.50845
46,DNK,61260,47.10552806140865,80.95365853658537,0.495838925879129,5793636,..,6.79277992248535,12.126000000000005,..,87.874,10.53259,11.63697
47,DOM,7780,39.69937354292953,73.892,1.07886200909288,10627147,22.8,3.92848992347717,18.926000000000002,92.71356,81.074,9.03192,9.41831
48,DZA,3980,19.84998388166098,76.693,2.00739866314238,42228415,..,5.8663501739502,27.370999999999995,97.63517,72.629,21.85417,22.62032
49,ECU,6090,41.167292976919065,76.8,1.76565269522798,17084359,23.2,4.6214599609375,36.179,90.94167,63.821,21.49361,22.48556
50,EGY,2790,21.302573421834815,71.825,2.0332723991851,98423602,..,..,57.296,97.03257,42.704,57.59381,60.76959
51,ERI,..,46.161192951196035,65.941,1.1624015499457,3452797,..,..,59.92,51.45515,40.08,21.66707,23.31824
52,ESP,29310,46.44384953909968,83.43170731707319,0.437982993728698,46797754,20.7,4.18157005310059,19.679000000000002,..,80.321,10.80951,11.7831
53,EST,21200,48.28523719208121,78.2439024390244,0.348039137980543,1321977,21.7,5.2632098197937,31.120000000000005,..,68.88,8.52918,9.01167
54,ETH,800,46.6329319004117,66.24,2.61996917105787,109224410,..,5.06867980957031,79.237,..,20.763,20.64253,22.28182
55,FIN,48220,48.02114858572925,81.73414634146343,0.132641040791912,5515525,11.6,6.27542018890381,14.617999999999995,..,85.382,6.13083,7.31704
56,FJI,5910,33.064033177928394,67.341,0.684860282111394,883490,..,4.83571004867554,43.752,..,56.248,9.61287,10.35905
57,FRA,41200,48.24264505011616,82.67560975609757,0.274451849056795,67101930,..,5.40716981887817,19.555999999999997,..,80.444,10.6047,11.95732
58,FSM,3400,..,67.755,1.05221384801299,112640,..,9.69705009460449,77.297,..,22.703,16.46982,19.92175
59,GAB,6830,39.811251843484506,66.187,2.60348679566927,2119275,..,2.93345880508423,10.629999999999995,..,89.37,19.12207,23.16364
60,GBR,42410,46.932877290607365,81.2560975609756,0.605929132212552,66460344,..,5.16799020767212,16.602000000000004,..,83.398,17.2923,19.32226
61,GEO,4460,46.382246040240005,73.6,-0.0390365463489613,3726549,20.1,3.5210599899292,41.368,96.43624,58.632,33.27469,38.67453
62,GHA,2120,46.74152917370575,63.78,2.19285287421765,29767108,..,3.8861300945282,43.94,84.48045,56.06,42.40549,50.10592
63,GIN,860,53.68613555834953,61.185,2.8331175118102,12414292,43.7,2.38432002067566,63.86,..,36.14,38.09587,43.79732
64,GMB,720,43.773775904940564,61.735,2.94601268814255,2280092,..,2.36543989181519,38.73,76.81635,61.27,36.73437,42.55216
65,GNB,720,47.28813031506995,58.003,2.4935051959006,1874304,47.7,2.13787007331848,56.64,..,43.36,30.01333,35.40105
66,GNQ,6730,38.1065990400209,58.402,3.65334093213133,1308966,..,..,27.857,..,72.143,22.05393,24.83794
67,GRC,19080,43.76342562641779,81.7878048780488,-0.202880238259165,10732882,17.9,3.59734010696411,20.941999999999993,..,79.058,12.61653,13.35308
68,GRD,9610,..,72.384,0.517266573481224,111449,..,3.55255007743835,63.728,95.86628,36.272,19.85593,21.82682
69,GTM,4400,33.235778874179836,74.063,1.60038598150372,16346950,..,3.13704991340637,48.946,86.88631,51.054,15.71009,17.33684
70,GUY,6290,39.04780156419855,69.774,0.487575158848574,779007,..,4.45058012008667,73.394,..,26.606,18.69329,19.66768
71,HND,2330,38.15508495765906,75.088,1.66708222728063,9587523,50.4,6.05646991729736,42.904,..,57.096,19.90103,20.23371
72,HRV,14410,46.6181897865385,78.0707317073171,-0.893486927711056,4087843,18.3,3.90755009651184,43.053,..,56.947,12.86634,13.28461
73,HTI,1410,48.668086253149156,63.66,1.27405022512994,11123183,..,1.63206994533539,44.722,..,55.278,14.7717,16.4488
74,HUN,14980,45.564449950331145,76.0658536585366,-0.126786951652838,9775564,12.3,4.62282991409302,28.649,..,71.351,18.35903,20.58109
75,IDN,3840,39.209262693263156,71.509,1.13450697951891,267670549,9.8,3,44.675,93.4963,55.325,41.03309,45.50899
76,IND,2010,20.63079697122425,69.416,1.03782784787162,1352642283,..,4.36373996734619,65.97,..,34.03,26.52835,29.11211
77,IRL,59350,45.847997477136545,82.2048780487805,1.23887545258946,4867316,..,3.39286994934082,36.83,..,63.17,20.99381,23.4887
78,IRN,5110,19.684274084355287,76.479,1.38647833501238,81800204,..,3.9553599357605,25.102000000000004,..,74.898,35.3584,40.53592
79,IRQ,5040,13.380678284386699,70.454,2.31845313270607,38433604,..,..,29.527,..,70.473,19.52679,22.16573
80,ISL,67760,47.23104238689313,82.86097560975611,2.67814276922904,352721,..,7.56170988082886,6.186999999999998,..,93.813,15.30396,16.25479
81,ISR,41320,47.626779823511676,82.80243902439025,1.92662286520241,8882800,..,6.11233997344971,7.581999999999994,..,92.418,18.60814,20.08561
82,ITA,33850,42.66837976277459,83.34634146341465,-0.190063640113791,60421760,20.1,4.25614023208618,29.561999999999998,..,70.438,15.15394,17.41951
83,JAM,5010,45.893104608046045,74.368,0.47833817688853,2934853,..,5.41380977630615,44.326,81.0188,55.674,21.19379,22.59059
84,JOR,4270,18.92871325482255,74.405,1.81748233928602,9965322,15.7,2.98481011390686,9.021,80.8644,90.979,18.03095,18.60183
85,JPN,41770,43.93553426311229,84.2109756097561,-0.126880068088791,126811000,..,3.07782006263733,8.384,..,91.616,24.05652,33.3826
86,KAZ,8070,48.10160045228656,73.15,1.31452298457883,18276452,4.3,2.61595010757446,42.572,87.58681,57.428,18.94936,22.67509
87,KEN,1680,49.2266043383477,66.342,2.30574364203494,51392570,..,5.10761976242065,72.97,..,27.03,33.19923,33.12172
88,KGZ,1220,38.55157685843177,71.4,1.99032207024617,6322800,22.4,5.55267000198364,63.649,89.85774,36.351,27.25718,28.99919
89,KHM,1380,48.95570350104401,69.57,1.49034315597302,16249795,..,2.16285991668701,76.612,90.26554,23.388,11.71802,12.46623
90,KIR,3170,..,68.116,1.46875398423395,115842,..,11.9682903289795,45.943,..,54.057,10.2157,10.30253
91,KOR,32750,42.04281850962595,82.62682926829268,0.433519027613049,51585058,..,4.45807981491089,18.540999999999997,..,81.459,30.88254,31.52806
92,KWT,33710,25.5891862170544,75.398,1.98243711082377,4137314,..,6.38917016983032,0,82.63321,100,61.22093,64.95014
93,LAO,2490,49.21000555417056,67.61,1.54795306869369,7061498,18.3,2.36999988555908,64.99600000000001,91.46712,35.004,21.57369,25.0311
94,LBN,7590,24.854309292318185,78.875,0.585360849269362,6859408,..,2.52447009086609,11.406999999999996,..,88.593,24.87496,25.87116
