Series Name,Series Code,Country Name,Country Code,2010 [YR2010]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,29185511
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,518468229
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,350556886
"Population, total",SP.POP.TOTL,Albania,ALB,2913021
"Population, total",SP.POP.TOTL,Algeria,DZA,35977451
"Population, total",SP.POP.TOTL,American Samoa,ASM,56084
"Population, total",SP.POP.TOTL,Andorra,AND,84454
"Population, total",SP.POP.TOTL,Angola,AGO,23356247
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,88030
"Population, total",SP.POP.TOTL,Arab World,ARB,354890097
"Population, total",SP.POP.TOTL,Argentina,ARG,40788453
"Population, total",SP.POP.TOTL,Armenia,ARM,2877314
"Population, total",SP.POP.TOTL,Aruba,ABW,101665
"Population, total",SP.POP.TOTL,Australia,AUS,22031750
"Population, total",SP.POP.TOTL,Austria,AUT,8363404
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9054332
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,354936
"Population, total",SP.POP.TOTL,Bahrain,BHR,1240864
"Population, total",SP.POP.TOTL,Bangladesh,BGD,147575433
"Population, total",SP.POP.TOTL,Barbados,BRB,282131
"Population, total",SP.POP.TOTL,Belarus,BLR,9483836
"Population, total",SP.POP.TOTL,Belgium,BEL,10895586
"Population, total",SP.POP.TOTL,Belize,BLZ,322465
"Population, total",SP.POP.TOTL,Benin,BEN,9199254
"Population, total",SP.POP.TOTL,Bermuda,BMU,65124
"Population, total",SP.POP.TOTL,Bhutan,BTN,685502
"Population, total",SP.POP.TOTL,Bolivia,BOL,10048597
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3705478
"Population, total",SP.POP.TOTL,Botswana,BWA,1987106
"Population, total",SP.POP.TOTL,Brazil,BRA,195713637
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27796
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,388634
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7395599
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,15605211
"Population, total",SP.POP.TOTL,Burundi,BDI,8675606
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,492644
"Population, total",SP.POP.TOTL,Cambodia,KHM,14312205
"Population, total",SP.POP.TOTL,Cameroon,CMR,20341236
"Population, total",SP.POP.TOTL,Canada,CAN,34004889
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,6973193
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,56672
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4386765
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,104421447
"Population, total",SP.POP.TOTL,Chad,TCD,11952134
"Population, total",SP.POP.TOTL,Channel Islands,CHI,159718
"Population, total",SP.POP.TOTL,Chile,CHL,17062531
"Population, total",SP.POP.TOTL,China,CHN,1337705000
"Population, total",SP.POP.TOTL,Colombia,COL,45222699
"Population, total",SP.POP.TOTL,Comoros,COM,689696
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,64563853
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4273738
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4577371
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,20532944
"Population, total",SP.POP.TOTL,Croatia,HRV,4295427
"Population, total",SP.POP.TOTL,Cuba,CUB,11225833
"Population, total",SP.POP.TOTL,Curacao,CUW,148703
"Population, total",SP.POP.TOTL,Cyprus,CYP,1112617
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10474410
"Population, total",SP.POP.TOTL,Denmark,DNK,5547683
"Population, total",SP.POP.TOTL,Djibouti,DJI,840194
"Population, total",SP.POP.TOTL,Dominica,DMA,70877
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9695117
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,2907916947
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2206884622
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,1965972280
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,1941377365
"Population, total",SP.POP.TOTL,Ecuador,ECU,15011114
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,82761244
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183877
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,943640
"Population, total",SP.POP.TOTL,Eritrea,ERI,3170437
"Population, total",SP.POP.TOTL,Estonia,EST,1331475
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1064841
"Population, total",SP.POP.TOTL,Ethiopia,ETH,87639962
"Population, total",SP.POP.TOTL,Euro area,EMU,336151482
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,887904313
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,377813291
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,440398383
"Population, total",SP.POP.TOTL,European Union,EUU,441532415
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,47803
"Population, total",SP.POP.TOTL,Fiji,FJI,859816
"Population, total",SP.POP.TOTL,Finland,FIN,5363352
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,769284359
"Population, total",SP.POP.TOTL,France,FRA,65027505
"Population, total",SP.POP.TOTL,French Polynesia,PYF,266449
"Population, total",SP.POP.TOTL,Gabon,GAB,1624146
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1793199
"Population, total",SP.POP.TOTL,Georgia,GEO,3786695
